symbol,name,table,group,manner,place,voice,page,audio,chart
𝼈,Voiced retroflex lateral flap,pulmonic,Coronal,Lateral tap/flap,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_lateral_flap,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/38/Voiced_retroflex_lateral_flap_%28correct%29.wav/Voiced_retroflex_lateral_flap_%28correct%29.wav.mp3,𝼈
ɓ,Voiced bilabial implosive,non-pulmonic,Implosive,Voiced,,,https://en.wikipedia.org/wiki/Voiced_bilabial_implosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/31/Voiced_bilabial_implosive.ogg/Voiced_bilabial_implosive.ogg.mp3,ɓ
ɗ,Voiced alveolar implosive,non-pulmonic,Implosive,Voiced,,,https://en.wikipedia.org/wiki/Voiced_alveolar_implosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c3/Voiced_alveolar_implosive.ogg/Voiced_alveolar_implosive.ogg.mp3,ɗ
ᶑ,Voiced retroflex implosive,non-pulmonic,Implosive,Voiced,,,https://en.wikipedia.org/wiki/Voiced_retroflex_implosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c8/Voiced-retroflex-implosive.ogg/Voiced-retroflex-implosive.ogg.mp3,ᶑ
ʄ,Voiced palatal implosive,non-pulmonic,Implosive,Voiced,,,https://en.wikipedia.org/wiki/Voiced_palatal_implosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/2c/Voiced_palatal_implosive.ogg/Voiced_palatal_implosive.ogg.mp3,ʄ
ɠ,Voiced velar implosive,non-pulmonic,Implosive,Voiced,,,https://en.wikipedia.org/wiki/Voiced_velar_implosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a8/Voiced_velar_implosive.ogg/Voiced_velar_implosive.ogg.mp3,ɠ
ʛ,Voiced uvular implosive,non-pulmonic,Implosive,Voiced,,,https://en.wikipedia.org/wiki/Voiced_uvular_implosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/00/Voiced_uvular_implosive.ogg/Voiced_uvular_implosive.ogg.mp3,ʛ
ʍ,Voiceless labial–velar fricative,co-articulated,,Fricative/approximant,,,https://en.wikipedia.org/wiki/Voiceless_labial–velar_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a7/Voiceless_labio-velar_fricative.ogg/Voiceless_labio-velar_fricative.ogg.mp3,ʍ
w,Voiced labial–velar approximant,co-articulated,,Fricative/approximant,,,https://en.wikipedia.org/wiki/Voiced_labial–velar_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f2/Voiced_labio-velar_approximant.ogg/Voiced_labio-velar_approximant.ogg.mp3,w
ɥ,Voiced labial–palatal approximant,co-articulated,,Fricative/approximant,,,https://en.wikipedia.org/wiki/Voiced_labial–palatal_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/32/LL-Q150_%28fra%29-WikiLucas00-IPA_%C9%A5.wav/LL-Q150_%28fra%29-WikiLucas00-IPA_%C9%A5.wav.mp3,ɥ
ɧ,Sj-sound,co-articulated,,Fricative/approximant,,,https://en.wikipedia.org/wiki/Sj-sound,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/42/Voiceless_dorso-palatal_velar_fricative.ogg/Voiceless_dorso-palatal_velar_fricative.ogg.mp3,ɧ
ɫ,Velarized alveolar lateral approximant,co-articulated,,Fricative/approximant,,,https://en.wikipedia.org/wiki/Velarized_alveolar_lateral_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d3/Velarized_alveolar_lateral_approximant.ogg/Velarized_alveolar_lateral_approximant.ogg.mp3,ɫ
ʘ,Tenuis bilabial click,non-pulmonic,Click,,,,https://en.wikipedia.org/wiki/Tenuis_bilabial_click,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/2b/Clic_bilabial_sourd.ogg/Clic_bilabial_sourd.ogg.mp3,kʘ
ǀ,Tenuis dental click,non-pulmonic,Click,,,,https://en.wikipedia.org/wiki/Tenuis_dental_click,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/1f/Dental_click.ogg/Dental_click.ogg.mp3,kǀ
ǃ,Tenuis alveolar click,non-pulmonic,Click,,,,https://en.wikipedia.org/wiki/Tenuis_alveolar_click,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/3c/Postalveolar_click.ogg/Postalveolar_click.ogg.mp3,kǃ
ǁ,Tenuis alveolar lateral click,non-pulmonic,Click,,,,https://en.wikipedia.org/wiki/Tenuis_alveolar_lateral_click,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f4/Alveolar_lateral_click.ogg/Alveolar_lateral_click.ogg.mp3,kǁ
𝼊,Tenuis retroflex click,non-pulmonic,Click,,,,https://en.wikipedia.org/wiki/Tenuis_retroflex_click,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/5a/Retrflx_click.wav/Retrflx_click.wav.mp3,k𝼊
ǂ,Tenuis palatal click,non-pulmonic,Click,,,,https://en.wikipedia.org/wiki/Tenuis_palatal_click,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/89/Palatoalveolar_click.ogg/Palatoalveolar_click.ogg.mp3,kǂ
